time,sharp_usflux_max,sharp_usflux_sum,sharp_totusjh_max,sharp_totusjh_sum,sharp_totpot_max,sharp_totpot_sum,sharp_meanpot_max,sharp_meanpot_sum,sharp_savncpp_max,sharp_savncpp_sum,sharp_meanshr_max,sharp_meanshr_sum,sharp_shrgt45_max,sharp_shrgt45_sum,sharp_r_value_max,sharp_r_value_sum,sharp_area_acr_max,sharp_area_acr_sum,sharp_n_ar
2024-06-15 05:59:23,4.717277e+22,1.3554105062e+23,3809.848,10623.531,1.208556e+24,2.19688375868e+24,17598.66,64998.8317,15915300000000.0,43231592997000.0,50.938,472.58299999999997,57.59,198.73600000000002,5.064,22.976000000000003,2632.824951,6779.673239,8
2024-06-15 11:59:23,5.112955e+22,1.4117883654999999e+23,3800.7,10611.789999999999,1.253634e+24,2.24888028566e+24,17632.43,61972.4742,14674960000000.0,44031592673792.0,52.23,491.075,58.62,210.73999999999998,5.079,21.119999999999997,2568.187744,6933.898045,8
2024-06-15 17:59:23,5.196536e+22,1.4146492628e+23,3596.289,10503.375,1.229374e+24,2.21464984852e+24,16857.0,61344.373999999996,19683680000000.0,52477517040000.0,51.962,474.83000000000004,58.432,202.836,5.105,23.524,2378.5979,6801.672819,8
2024-06-15 23:59:23,5.263145e+22,1.3676332703e+23,3712.6,9929.925000000001,1.281569e+24,2.21344253221e+24,17982.35,58081.8278,23976180000000.0,49355065910000.0,52.032,452.132,59.751,207.4,4.985,20.477,2056.547363,6264.0723800000005,8
2024-06-16 05:59:23,4.916119e+22,1.3297459443e+23,3662.979,9891.119,1.263041e+24,2.21070014564e+24,17240.16,60301.2669,20544340000000.0,45098337610000.0,52.269,444.402,59.579,184.965,5.032,26.237000000000002,1847.92334,6156.877402,8
2024-06-16 11:59:23,4.88511e+22,1.4101715421e+23,3972.012,10544.706,1.308362e+24,2.30706327102e+24,16798.47,60609.740600000005,21781930000000.0,50385620116000.0,52.535,474.197,59.352,195.673,5.0,23.749,1714.259399,6339.588098,8
2024-06-16 17:59:23,4.39451e+22,1.3420928924e+23,3751.413,9872.616,1.284292e+24,2.2738920237e+24,16758.6,60913.156,16415850000000.0,51702208410000.0,51.445,455.579,58.149,195.053,4.959,20.655,1559.345581,6210.710615,8
2024-06-16 23:59:23,3.985838e+22,1.297384639e+23,3673.521,9191.251,1.263465e+24,2.2502402293e+24,16477.69,59858.5671,16218150000000.0,43079449180000.0,51.69,436.808,58.422,205.59699999999998,4.892,22.674,1526.995605,5758.242229,8
2024-06-17 05:59:23,4.039786e+22,1.2562329402e+23,3712.416,8949.264000000001,1.318529e+24,2.2730668089999998e+24,16628.46,64008.322,13250790000000.0,34992908250000.0,52.11,431.908,59.162,201.25,4.864,20.579,1591.219849,5715.637231,8
2024-06-17 11:59:23,4.208109e+22,1.3584208203e+23,3910.373,9592.584,1.412597e+24,2.3995668038e+24,16543.28,59852.798,15419840000000.0,47018276820000.0,52.45,470.29200000000003,58.948,213.013,5.014,18.727,1619.481201,5842.8629900000005,8
2024-06-17 17:59:23,4.397797e+22,1.409665952e+23,4178.725,10202.78,1.49959e+24,2.4964942186000003e+24,18226.55,58863.278,13284490000000.0,40741923954000.0,51.606,426.59,58.687,190.45499999999998,5.074,21.262,1697.497681,5890.929858,7
2024-06-17 23:59:23,4.412462e+22,1.3979972213e+23,4203.134,10019.155999999999,1.528818e+24,2.5041937603e+24,18397.09,55103.477,13915520000000.0,36405910930000.0,51.987,387.38,59.044,181.99599999999998,4.952,22.823,1654.957153,5516.151108,8
2024-06-18 05:59:23,4.468274e+22,1.3483921718e+23,4207.384,9660.593,1.611797e+24,2.5479418768e+24,19419.83,60198.203,11473810000000.0,31702086222541.0,52.405,398.767,59.746,188.00300000000001,5.054,24.207,1755.649902,5568.564118,8
2024-06-18 11:59:23,4.736855e+22,1.3717035721e+23,4349.399,9832.331,1.659456e+24,2.59171844995e+24,18468.6,48313.8594,12689820000000.0,35669870870000.0,51.702,361.007,57.739,225.632,5.154,20.805,1845.769409,5756.534246,7
2024-06-18 17:59:23,4.822475e+22,1.4091668068e+23,4147.967,10193.209,1.664016e+24,2.62580009511e+24,19354.07,49969.903,12821700000000.0,44230856730000.0,51.263,305.736,57.071,164.951,5.144,32.814,1870.509399,5634.699044,8
2024-06-18 23:59:23,4.820518e+22,1.348958154e+23,3847.041,10108.502,1.594578e+24,2.7348908315e+24,17985.54,49915.121,13200720000000.0,39037943400000.0,51.137,325.876,57.817,192.257,4.931,34.551,1743.058838,5374.601338,8
2024-06-19 05:59:23,4.950133e+22,1.391246941e+23,3796.613,10368.458999999999,1.677735e+24,3.0153024812999997e+24,19103.46,56819.623999999996,19274840000000.0,46085870700000.0,51.413,330.695,58.917,204.086,5.001,34.865,1883.465088,5773.966005,8
2024-06-19 11:59:23,5.263101e+22,1.5494739102e+23,3758.934,11445.959,1.772898e+24,3.3668069056e+24,18757.73,64822.5318,28109680000000.0,63082954600000.0,50.809,359.306,57.126,236.975,5.028,34.722,2068.95752,6298.807113,9
2024-06-19 17:59:23,5.392482e+22,1.648948931e+23,4190.701,12373.301,1.796476e+24,3.6404065116e+24,19533.05,65186.6762,23946480000000.0,60973192100000.0,50.881,349.121,56.795,251.608,5.05,37.224,2153.342041,6568.08707,9
2024-06-19 23:59:23,5.511324e+22,1.721570772e+23,4334.869,12618.505,1.737331e+24,3.8015446109e+24,17812.04,62112.2511,28029170000000.0,71893581990000.0,50.112,339.79,56.376,234.498,5.196,39.528,2157.729248,6529.867929,9
2024-06-20 11:59:23,5.752649e+22,1.8492208315e+23,4965.808,13673.073,1.695998e+24,4.1385580241999996e+24,17010.28,60469.708399999996,29245800000000.0,67049637380000.0,49.05,307.392,52.781,228.912,5.143,31.713,2309.233643,6878.8446269999995,8
2024-06-20 17:59:23,6.142045e+22,2.0066080288e+23,5352.111,14250.019,1.65948e+24,4.29566014946e+24,16877.14,62272.3623,19961470000000.0,49679778790000.0,48.492,315.041,51.855,208.515,5.113,32.113,2390.61499,7047.276483000001,9
2024-06-20 23:59:23,6.457051e+22,2.134944241e+23,5028.758,13975.616,1.592837e+24,4.2620135266e+24,15711.09,59252.864,23230190000000.0,56288871990000.0,45.294,296.328,48.187,199.861,5.156,35.73,2311.045654,6778.480629,9
2024-06-21 05:59:23,6.714841e+22,2.15940413e+23,5100.311,14074.761,1.558626e+24,4.1976983316e+24,15637.48,57479.186,19529110000000.0,57346521080000.0,44.411,281.759,45.727,197.91899999999998,4.993,38.978,2381.583496,7203.44329,9
2024-06-21 11:59:23,7.088197e+22,2.238244658e+23,5237.442,14240.221,1.579187e+24,4.44867547458e+24,15572.92,66741.692,19994390000000.0,64438792160000.0,45.063,309.65000000000003,45.636,227.035,5.077,34.379,2457.756348,7580.771908,8
2024-06-21 17:59:23,7.417934e+22,2.416225054e+23,5347.273,14965.030999999999,1.571107e+24,4.6107211957999996e+24,15415.3,66768.288,17690560000000.0,58533767900000.0,45.499,301.231,47.516,233.31900000000002,5.056,32.032,2470.438721,7713.666971,8
2024-06-21 23:59:23,7.72175e+22,2.5372708933000002e+23,5064.279,14813.906,1.495783e+24,4.47948716974e+24,14528.09,63297.2393,14224560000000.0,45221990180000.0,43.952,309.138,44.613,217.282,4.947,36.428,2223.054199,7381.758279,8
2024-06-22 05:59:23,7.635489e+22,2.546953532e+23,5188.183,15157.529999999999,1.487416e+24,4.4760830886e+24,15232.56,68690.307,22322450000000.0,47110364970000.0,44.024,307.028,44.475,205.617,5.169,31.48,2247.330078,7577.905028,8
2024-06-22 11:59:23,7.748023e+22,2.5036910434e+23,5017.022,14786.67,1.480795e+24,4.3500535888e+24,15737.74,68017.904,18495590000000.0,54008325612800.0,45.063,307.141,45.764,213.049,5.01,33.05,2239.864258,7660.607875,8
2024-06-22 17:59:23,7.879259e+22,2.683093162e+23,4832.564,15378.479000000001,1.547294e+24,4.4497565035e+24,16196.68,63548.047999999995,16034870000000.0,44902706300000.0,46.475,310.98,47.61,212.983,4.946,31.194,2191.026367,8018.696435,8
2024-06-22 23:59:23,7.914714e+22,2.695119357e+23,4440.449,14383.317,1.301118e+24,4.1188620852e+24,15463.32,59064.848,7314632000000.0,34094036600000.0,45.836,288.698,44.13,191.55200000000002,5.333,31.133000000000003,2025.970703,8111.6823079999995,8
